episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,540300,600300,660300,720300,780300,840300,900264,960009,1019850,1079606,1139249,1199092,1258789,1318337,1377983,1437649,1497335,1557118,1616938,1676705,1736551,1795222,1853263,1911507,1969354,2027245,2085134,2143208,2201333,2259185,2317043,2375087,2433171,2491011,2548758,2606343,2664034,2721620,2779503,2837476,2895049,2952870,3010580,3068443,3125893,3183663,3241332,3299129,3356810,3414276,3471987,3529580,3587243,3644928,3702622,3760275,3817863,3875395,3932847,3990329,4048370,4105008,4161337,4217608,4273848,4330067
eval_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
train_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.52,0.285,0.49,0.735,0.255,0.51,0.41,0.53,0.61,0.535,0.515,0.47,0.615,0.58,0.715,0.715,0.66,0.82,0.8,0.795,0.73,0.695,0.815,0.81,0.76,0.725,0.82,0.85,0.84,0.89,0.93,0.8,0.8,0.93,0.84,0.875,0.83,0.97,0.86,0.89,0.855,0.905,0.95,0.88,0.93,0.89,0.875,0.875,0.905,0.92,0.945,0.945,0.935,0.67,0.9,0.965,0.98,0.99,0.995
level,0,1,1,5,1,5,1,5,5,4,5,5,1,5,5,1,5,4,1,5,4,4,1,4,4,4,4,5,4,4,4,5,5,1,5,4,5,4,4,5,5,5,4,4,4,4,5,5,4,4,4,4,4,5,5,4,5,4,5,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,4
count_id,0,14,14,0,14,0,14,0,0,2,0,0,14,0,0,14,0,3,14,0,4,4,14,4,4,4,3,0,4,4,4,0,0,14,0,4,0,4,4,0,0,0,4,4,4,4,0,0,4,4,4,3,4,0,0,5,0,3,0,4,4,3,0,0,3,0,0,0,0,0,3,0,0,0,4
norm_ent 0,0.8477800926854242,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749,0.9567325283084749
norm_ent 1,0.8073558850768398,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388,0.9420924802154388
norm_ent 2,0.832392076239277,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356,0.9094631322440356
norm_ent 3,0.8527283451570453,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434,0.9495454933215434
norm_ent 4,0.4985610311739065,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896,0.6218061413633896
